Cocktail Name,Bartender,Company,Location,Ingredients,Garnish,Glassware,OfficialRating,AgeOfBartender
The Double Crown,Jeff Bell,PDT,New York,"1.25 oz Compass Box Great King Street Glasgow Blend, .75 oz Lemon Juice, .5 oz Cyril Zangs Double Zero Eau de Vie de Cidre, .5 oz King's Ginger Liqueur, .5 oz Honey Syrup, 1  Egg White",Sage Leaf,,7,29
French Maid,Jim Meehan,PDT ,New York,"1.5 oz H by HINE, 1 oz House Ginger Beer, .75 oz Lime juice, .75 oz Simple syrup, .25 oz John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig","Fresh mint sprig, Cucumber wheel",N/A,9,26
Le Femme Nikita,Joaquin Simo,Pouring Ribbons,New York,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .25 oz Rich Cane Syrup, 2 dash Bittermens Xocolatl Mole Bitters, 2 dash Cinnamon Bitters",Orange Peel,Rocks Glass,7,35
Ypioca Yellow Card,Scott Brody,Presidio Social Club,San Francisco,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 oz King's Ginger Liqueur, 1 oz Pineapple Juice, .5 oz Simple Syrup, 2 oz Coconut Water, 1 fill Soda Water",Pineapple Leaf,Highball Glass,7,42
Mack's Apple,Mariel Bordas,Putnam's Pub & Cooker,Brooklyn,"1.5 oz Mezcal, .5 oz Fresh Lemon Juice, 1 oz Apple Cider Reduction, .5 oz Cinnamon-Chipotle Syrup*, 1 dash House-made Apple Pie Bitters**",Fresh Cinnamon (Grated),Old Fashioned Glass,9,28
Georgia Old Fashioned,Andy Minchow,Ration & Dram,Atlanta,"2.5 oz Nikka Coffey Grain Whisky, .25 oz Tippleman's Barrel Smoked Maple Syrup, 2 dash Regans' Orange Bitters, 5 dash Angostura Bitters, 1 disc Orange, 1 disc Lemon, 1 slice Peach",,N/A,2,26
"Amaretto Jello Shot, Why Not",Monica Anderson,Republic Street Bar,Fort Worth,"2 cups Boiling water, 6 packages Raspberry Jello packages, 1.25 cup Luxardo Amaretto di Saschira, .25 cup Fresh lime juice, .5 cup Cold water",,N/A,7,31
The Lover's Quarrel ,Russell Davis,Rickhouse,San Francisco,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .75 oz King's Ginger Liqueur, .5 oz Honey Jalapeño syrup, 1 oz Orange juice, .5 oz Lemon juice, 1 oz Soda water","Sliced Peaches, Jalapeños, Lemons and Oranges",N/A,9,24
Fortune & Glory,,Rickhouse,San Francisco,"1.5 oz Chinaco Reposado Tequila, 1 oz Lime Juice, .5 oz H by HINE, .5 oz Small Hand Foods Orgeat, .5 oz Falernum, 2 dash Mole Bitters",Lime Wheel,Coupe,10,32
"Yes, Queen!",Jacyara de Oliveira,"Rob Roy, The Hideout",Seattle,"2 oz H by HINE, 1 oz Dolin Dry Vermouth, .5 tsp Giffard Banane du Brésil, .5 tsp Honey Syrup",Lemon Peel,N/A,4,29
The Dry Cruise,Jacyara de Oliveira,"Rob Roy, The Hideout",Seattle,"1 oz Luxardo Bitter Bianco, 1 oz Lustau Oloroso Sherry, .25 oz St. Germain, .75 oz Lemon Juice, .5 oz Honey Syrup,  top Sparkling Wine","Edible Flower, Straw",N/A,3,35
The Stand By,Vince Toscano,Rye,San Francisco,"2 oz Junipero Gin, .5 oz Luxardo Bitter, 1 bsp Kalani Coconut Liqueur, 1 dash Angostura Bitters, 1 dash Peychaud's Bitters",Lemon Peel,Old Fashioned Glass,10,36
The French Connection,John Davis,Savor Gastropub,Dallas,"2 oz H by HINE, 1 oz Fresh Lemon Juice, 1 oz Demarara Simple Syrup, 4 dash Apple Bitters","Lemon Slice, Apple Slice",Coupe,7,25
Hibiscus Pisco Sour,Naren Young,Saxon & Parole,New York,"2 oz BarSol Primero Quebranta Pisco, .75 oz Lime juice, .75 oz Hibiscus/rose syrup, 1  Egg white",,Coupe,7,47
Willow,Carl Wenger,Shady Lady Saloon,Sacramento,"1 oz Old Potrero Straight Rye Whiskey, 1.5 oz BarSol Perfecto Amor (Aperitif Wine), 1 bsp Luxardo Amaro Abano, 1 dash Angostura bitters",Luxardo Cherry,Coupe,4,-1
No.10,Revae Schneider,Siena Tavern,Chicago,"1.5 oz Woodford Reserve Double Oaked, .75 oz Luxardo Bitter, .75 oz Rothman & Winter Orchard Apricot Liqueur, .25 oz Luxardo Maraschino Liqueur",,N/A,4,32
Thyme for Bed,Lisa Brier,Skyfall Lounge,Las Vegas,"1.5 oz Chamucos Blanco Tequila, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Thyme Simple Syrup, .5 oz Lime Juice",Thyme Sprig,Coupe,4,29
Jammie Dodger Fizz,Laura Maddox,Small Victory,austin,"2 oz H by HINE, .5 oz Tempus Fugit Creme de Noyaux, .5 oz Orgeat, .375 oz Lemon, .375 oz Lime, 1 oz Heavy Whipping Cream, 1  Egg White",Orange Wheel,Collins,9,35
Bird On,Kelly O'Hare,Small Victory,Austin,".75 oz Tempus Fugit Creme de Menthe Glaciale, .75 oz Tempus Fugit Alessio Vermouth Bianco, .75 oz H by HINE, .375 oz Lemon Juice, .375 oz Lime Juice",Lemon Wedge,N/A,5,26
The Palace Cellar,Michael Esposito,Snake Oil Company,San Diego,"1.5 oz King's Ginger Liqueur, .5 oz Pink Pigeon Rum, .5 oz Fresh-pressed Lemon Juice, .5 oz Snake Oil's House-made Sarsaparilla Syrup, .75 oz Carbonated Water, 1 dash Snake Oil's House-made Pomegranate Bitters","Ginger, Lemon Wheel",Collins,2,32
Gold Rush,Leilani Brennan,Southside Spirit House,San Francisco,"3  Basil Leaves, 1.5 oz Karlsson's Gold Vodka, .75 oz Pineapple Juice, .5 oz Simple Syrup, .5 oz Sweet Vermouth, .5 oz Lime Juice , .5 oz Egg White, 1 dash Angostura Bitters",Basil Leaf,Coupe,6,38
The Naughty & Nice,Sarah Manowitz,Spitfire Bar,New Orleans,"1.25 oz Glenrothes Vintage Reserve, .75 oz Drambuie, 2 oz Woodchuck Pumpkin Cider, .75 oz Spiced Butter*, 3 dash Bittermens Elemakule Tiki Bitters",Chrusciki Cookie**,N/A,6,26
Spring Cleanse,,Sprig & Spirit,,"1  Half Small Cucumber, 1  Medium Carrot, 1  Green Apple, cored, 3-4  Kale Leaves, 1  Big Handful Spinach Leaves, 1  Small Hunk Ginger, .5-1 oz Pastis Prado",Mint Sprig,,2,36
Buenaventura,Matt Solario,Stookey's Club Moderne,San Francisco,".75 oz BarSol Primero Quebranta Pisco, .75 oz El Tesoro Reposado Tequila, .5 oz Grüner Veltliner, .5 oz Lime, .25 oz Pineapple Gum, 1 bsp Sweet Marmalade",Orange Peel,Cocktail Glass,5,38
Endless Summer,Chad Philips,Surfcomber,Miami,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .75 oz Luxardo Bitter, .25 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice, 1 dash Lemon Bitters",,Coupe,5,29
Slow Ride,Sam Wiener,The Bend Liquor Lounge,Miami,"1 oz Rittenhouse Straight Rye Whisky, .5 oz Pusser's Rum, .5 oz King's Ginger Liqueur, 2 oz Basic House Lemonade*,  top Abita Big Easy IPA","Lemon Wheel, Flowers",,8,28
Amaretto Sour BV-Style,Scott Baird,The Bon Vivants,San Francisco,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters","Cherry, Freshly Grated Cinnamon",Coupe,4,26
West Bank,Claire Sprouse,The Bywater,Los Gatos,"1.5 oz HINE Rare VSOP, .5 oz Cynar, .5 oz Bywater Spice Mix*, 1 oz Cold-Brew Coffee",,Rocks Glass,4,31
The Cavalier White Lady,,The Cavalier,San Francisco,"1 oz Junipero Gin, .75 oz Creole Shrub, .75 oz Lemon juice, .25 oz Lemon bitters, .5 oz Simple syrup, 1  Egg white",Lemon verbana,Martini,6,24
Fizzy Rhubarb Mule,Tom Cavazos,The Cedars Social,Dallas,"2 oz Rhubarb Infused Gin*, .5 oz King's Ginger Liqueur, .75 oz Lemon, .75 oz Simple Syrup , 1  Egg White,   Soda",Rhubarb Stalk,Collins,7,32
Hotaling Old Tom Gin,Enrique Sanchez,The Commissary,Los Angeles,"1.5 oz Old Tom Gin, .5 oz 7-Spice Syrup*, .75 oz Lemon Juice, 1.5 oz Fever-Tree Tonic","Orange Peel, Star Anise",,6,29
Bajo Control,Enrique Sanchez,The Commissary,,"2 oz BarSol Perfecto Amor (Aperitif Wine), 1 oz Dolin Dry Vermouth, .75 oz Lemon Juice, .5 oz Agave Syrup",Orange Horse-neck Peel,,7,35
Pisco Punch (Adaptation by The Commissary),Enrique Sanchez,The Commissary,,"2 oz BarSol Selecto Italia Pisco, 1 oz Lemon Juice, .75 oz Small Hand Foods Pineapple Gum Syrup, .5 oz Falernum",Nutmeg,Coupe,4,29
Parisian Manhattan,Clint Rogers,The Dawson,,"2 oz H by HINE, 1 oz Cocchi Americano Rosa, 1 dash Angostura Bitters, 3 drops Bittercube Cherry Bark Vanilla Bitters",Orange Peel,Old Fashioned Glass,9,34
Cock-tail,Keli Rivers,The Devil's Acre,San Francisco,"1.5 oz Junipero Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Drambuie, .25 oz Rich Brown Sugar Simple Syrup*, 4  Large Pieces Candied Ginger, 3 dash Angostura Bitters",,Coupe,7,32
Bourbon Crusta,,The Devil's Acre,San Francisco,"2 oz Bourbon, .25 oz Orchard Syrup, .25 oz Lemon Juice, 1 bsp Luxardo Triplum (Triple Sec), 1 bsp Luxardo Maraschino Liqueur, 3 dash Boker’s Bitters",Lemon Sugar Rim,,9,29
Mayan Mule,BC Hoffman,The Edison,Los Angeles,".5 oz King's Ginger Liqueur, .5 oz Ancho Reyes Chile Liqueur, .5 oz Montelobos Mezcal, .5 oz Aviation Gin, .5 oz Grapefruit Juice, .5 oz Lime Juice, 2 dash Bittercube Bitters Jamaican #2, 2 oz Fever-Tree Ginger Beer","Grapefruit Zest, Lime Zest",N/A,6,26
Fourth Generation,Ken Luciano,The Forgery,San Francisco,"1.5 oz Mezcal, .25 oz Luxardo Espresso Italian Liqueur, .75 oz Luxardo Bitter Bianco, 2 dash Salted Chocolate Bitters",Ghost Orange Twist,Nick & Nora,5,35
Croatia Firing Squad,Ken Luciano,The Forgery,San Francisco,"1 oz Luxardo Bitter Bianco, 1 oz Lillet Blanc, 1 oz No.3 London Dry Gin, .5 oz Rose Wine",Rose Petal,N/A,6,42
Delicious Sour,Ken Luciano,The Forgery,San Francisco,"2 oz C. Drouin Calvados Selection, .75 oz Lemon Juice, .75 oz Giffard Abricot du Roussillon, .5 oz Egg White",Lemon Twist,Coupe,,47
Monet,,The Forgery,San Francisco,"1.75 oz H by HINE, 1 oz BenRiach Madeira 15 YO, .5 oz Lemon Juice, .25 oz Briottet Creme de Banane, .25 oz Small Hand Foods Pineapple Gum Syrup",Lemon Twist,Coupe,6,-1
Lonesome George,Jacques,The Forgery,San Francisco,"1.25 oz Apricot-Infused H by HINE, 1 oz Napoleon Amontillado, .25 oz Mandarine Napoléon, .5 oz Lazzaroni Amaro",Orange Twist and Discard,Wine Glass,8,-1
The Fall 75,Nicole Hassoun,The Gin Joint,Charleston,"1 oz Junipero Gin, 1 oz Spiced kuri squash purée*, 2 dash Fresh lemon, 2 dash Honey syrup",,Coupe,5,-1
Spanish G&T,Natasha Bahrami,The Gin Room,St. Louis,"1.5 oz Junipero Gin, 2 oz East Imperial Superior Tonic ,   Assorted Complementing Botanicals*",Assorted Complementing Botanicals,,8,-1
Bay City Shandy,,The Gladly,Phoenix,"1.5 oz Hophead Vodka, .75 oz Giffard Pamplemousse, .5 oz Lemon Juice, 2 dash Orange Bitters,  top IPA",,N/A,5,32
The Great Pumpkin Cocktail,Jackson Cannon,The Hawthorne,boston,"1 oz Pumpkin-Infused Glenrothes Vintage Reserve*, 1 oz King's Ginger Liqueur, .5 oz Fresh Lemon Juice, .5 oz Grade-A Maple Syrup (prefer McClure's)",Cinnamon,Coupe,9,29
Espèce de Sazerac,Toby Cecchini,The Long Island Bar,brooklyn,"1 oz H by HINE, .5 oz Old Overholt Straight Rye Whiskey, .5 oz Rittenhouse Straight Rye Whisky, 1 bsp Rich Demerara Simple Syrup, 3 dash Peychaud's Bitters",,Rocks Glass,4,35
El Mustavo,Coly Den,The Must,Los Angeles,"2 oz Mezcal, 1 oz Tempus Fugit Alessio Vermouth Chinato, 1 oz Campari, 2 dash Rhubarb Bitters, 2 dash Orange Bitters","Birch Smoked Sea Salt Rim, Bow Tie Orange Peel",N/A,4,26
On the Wings of Eagles,Matthew Polzin,The Olde Bar,Philadelphia,"1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca",Mint Sprig,Rocks Glass,4,32
Cove,Takumi  Watanabe,The Sailing Bar,Japan,"1 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 oz Cynar, 1 oz Mancino Vermouth Secco, 1 tsp Regans' Orange Bitters No. 6",Orange twist,N/A,5,38
Bachelor's Bait,James Martin,The Sipologist,,"2 oz Junipero Gin, 6 dash Grapefruit Shrub, 3 dash Orange Bitters, 1 dash Grenadine, 1  Egg White",,Cocktail Glass,5,26
Doitashimashie,Nick Meyer,The Soigne Group,los angeles,"2 oz Nikka Coffey Grain Whisky, .25 oz Demerara Syrup, 1 dash Angostura bitters","Orange Twist, Mint",Old Fashioned Glass,10,36
Lucky No.3,Nick Meyer,The Soigne Group,Los Angeles,"1.5 oz No.3 London Dry Gin, 1 oz Luxardo Aperitivo, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Grapefruit Bitters, 1 pinch Kosher Salt",Grapefruit Twist,Old Fashioned Glass,10,38
Motel Nacional,Nick Meyer,The Soigne Group,los angeles,"1.5 oz Chinaco Blanco Tequila, .5 oz Luxardo Apricot Liqueur, .75 oz Lime juice, 1 oz Fresh Pineapple juice, .5 oz Simple syrup, 1 oz Soda water",,Collins,5,29
"Lox, Stock & Two Smoking Barrels",Karen Grill,The Spare Room,Los Angeles,"  Glenrothes Vintage Reserve,   Coffee-Infused Lustau East India Solera,   Cinnamon Syrup,   Milk","Cinnamon, Cinnamon Raisin Bagel Chip",N/A,5,26
Junipero Jolly,Carlos Yturria,The Treasury,San Francisco,"1 oz Junipero Gin, .5 oz Lemorton Pommeau de Normandie, .75 oz House-made Green Apple Purée*, .75 oz Lemon Juice, .5 oz Honey Syrup",Sage Leaf,Collins,6,35
Double Trouble,Ryan Hall,The Treasury,San Francisco,"1.5 oz Junipero Gin, 1 oz Strawberry & Black Pepper Shrub*, .75 oz Hidalgo La Gitana Manzanilla Sherry, .5 oz Lemon Juice , few drops Peychaud's Bitters",Mint Leaf,,6,42
Bird to Buck,Tiki Dave ,The Usual,Fort Worth,"1 1/2 part Pink Pigeon Rum, 1/2 part Benedictine, 1/4 part Orgeat syrup, 1/2 part Lime,  part Fee Brothers Whiskey Barrel Bitters",,N/A,6,47
Temple of the Moon,Nandini Khaund,The Violet Hour,Chicago,"1 oz Junipero Gin, 1 oz BarSol Primero Quebranta Pisco, 1 oz Amaro Sibilla, .25 oz Simple syrup,  rinse St. George Absinthe, 3 drops Fee Brothers Orange Flower Water",Mint sprig,Old Fashioned Glass,10,36
Little Ground Tapper,Claire & Chad,Tin Roof Drink Community,San Francisco,"2 oz H by HINE, .25 oz Small Hand Foods Pineapple Gum Syrup, 1 bsp Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Orange Peel,Old Fashioned Glass,10,26
La Batida Loca,Paul Sauter,Tippling Hall,Chicago,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Sweetened Condensed Milk, 1 oz Passion Fruit (fresh or puree), .5 oz Pilon Syrup*",Passion Fruit Seeds,Collins,6,35
Down the Rabbit Hole,Elmer Mejicano,Tony's Pizza Napoletana,San Francisco," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice",Mint Leaves,Collins,6,39
Cherry Orchard,Del Prado,Tooker Alley,New York,".5 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Maraschino Liqueur, .5 oz Laird's Straight Bonded , 1.25 oz Clear Creek Kirschwasser Eau de Vie, .25 oz Lemon juice, .5 oz Grapefruit juice, .25 oz Simple syrup, 2 dash Peychaud's Bitters",Grapefruit peel,N/A,,36
Sahara Glowing Heart,John Codd,Tradition,San Francisco,"1.5 oz Junipero Gin, .75 oz Apricot Eau-de-Vie, .25 oz Grenadine, 2 dash Lemon Bitters, 2 dash Absinthe",Lemon Twist,Nick & Nora,6,28
Cap't of the Seven Seas,Tyler Chauvin,Treo,New Orleans,"2 oz Ypioca Brasilizar Cachaca Ouro Reserva Especial, 1 oz Jalapeno-Orange Simple Syrup, 1 oz Coconut Milk, 4 dash Orange Flower Water, 9 drops Mole Bitters",,,9,27
Boko Buku,Tyler Chauvin,Treo,New Orleans,"1.5 oz Mezcal, .75 oz Don Ciccio & Figli Concerto, .125 oz Vanilla Marinade, 8 dash Mole Bitters",,Highball Glass,6,26
Baile de Verano,Tyler Chauvin,treo,New Orleans,"2 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Penny Blue Mauritian Rum, 6 dash Celery Shrub, 3 dash House-made Tarragon Tincture",,Highball Glass,6,22
Stroll Through the Park,Tyler Chauvin,Treo,New Orleans,"2 oz BarSol Primero Quebranta Pisco, .5 oz Simple Syrup, .5 oz Orange Juice, .5 oz Lemon, 1 bsp El Guapo Tonic Syrup, 4 dash El Guapo Tonic Bitters, 3  Cucumber Slices, 2  Mint Sprig",Cucumber slice,Collins,6,-1
Tequila Sunflare,Tyler Chauvin,Treo,New Orleans,"1.5 oz Chinaco Blanco Tequila, .75 oz Sage-Cilantro-Lime Syrup,  rinse Montanaro Vermouth , 1  Pomegranate Ice Cube",,Rocks Glass,6,27
Chapman Cobbler,Caitlin Laman,Trick Dog,San Francisco,"1 oz Applejack, 1 oz Amontillado Sherry, .75 oz Orgeat, .75 oz Fresh Lemon Juice, 1 bsp Tempus Fugit Creme de Noyaux",Lemon Wheel,Old Fashioned Glass,10,35
Spring Forward,Kim Rosselle,Trick Dog,San Francisco,"2 oz Old Tom Gin, .5 oz Noilly Prat Ambre Vermouth, .5 oz Pineapple Juice, .5 oz Lime Juice, .25 oz Rich Simple (2:1), .75 float Dry Sparkling Wine",Edible Flower Petal,Champagne Flute,6,47
The Last Tango,Kim Rosselle,Trick Dog,San Francisco,"1.5 oz Junipero Gin, 1 oz Giffard Elderflower Liqueur, 1 oz Lime Juice, 8-9 drops Chili Tincture*, 6  Luxardo Maraschino Cherries",Lime Wheel,Cocktail Glass,6,36
Virgil St.,,Trick Dog,san francisco,"1 oz Mezcal, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .5 oz Old Tom Gin, .5 oz Tempus Fugit Kina L'Aero d'Or, 1 dash Duplais Swiss Absinthe Verte",Lemon Peel,Double Rocks Glass,6,26
Improved Calvados Cocktail,Thad Vogler,Trou Normand,San Francisco,"2 oz C. Drouin Calvados Selection, 1 bsp Benedictine, 1 bsp Green Chartreuse, 1 bsp Small Hand Foods Gum Syrup, 2 dash Angostura Bitters",Orange Peel,Double Rocks Glass,6,35
Charente Royale,Kevin Diedrich,Turnkey,San Francisco,"1.5 oz H by HINE, .5 oz Elderflower Liqueur, 2 dash Absinthe,  top Sparkling Wine",Orange Twist,Champagne Flute,,39
Holland House,Jason Patz,Union Lodge No.1,Denver,"1 oz Genever, 1 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth, .5 oz Lemon Juice, .5 oz Pineapple Gomme Syrup","Lemon Peel, Pineapple",Cocktail Glass,6,36
Union Jack,Jason Patz,Union Lodge No.1,denver,".75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Grenadine 'Layered' Beer Back ",,N/A,9,28
Jack Cherry Sour (2001 Remix),Russell David,Unlimited Liabilities,,"1.5 oz Jack Daniel's, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fresh Lemon Juice, .25 oz Cane Sugar Syrup*, 1 dash Angostura Orange Bitters","Orange Slice, Luxardo Cherry",Old Fashioned Glass,10,27
Champs Élysées,Rafael Jimenez Rivera,Urchin Bistrot,San Francisco,"2 oz H by HINE, .75 oz Lemon juice, .5 oz Green Chartreuse, .25 oz Simple syrup, 2 dash Angostura bitters",Lemon wheel,Coupe,6,-1
Rx Hot Toddy,Christopher Buono,Walter Foods,Brooklyn,"1.5 oz Old Potrero Straight Rye Whiskey, .5 oz Lemon Juice, 2 oz Cold-pressed Apple Cider, 2 oz Hot Water, .5 oz Honey-Ginger Syrup*, 1 tsp Ghost-Pepper-Infused Campari**, 3 dash Cinnamon Tincture***",,,7,32
La Maracuja,Luis Hernandez,White Oak Tavern,new york,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1)","Mint Sprig, Fresh Grated Nutmeg",N/A,9,29
San Francisco Harvest,Megan Daniel,Whitechapel,San Francisco,"1.5 oz Junipero Gin, .75 oz Oloroso Sherry, .75 oz Lemon Juice, .75 oz Winter Spice Brown Sugar Syrup*, 1 oz Pineapple Juice",Nutmeg,Coupe,,35
Gin Made Me Do It,Karri Cormican,Wildhawk,San Francisco,"1 oz Junipero Gin, 1 oz C. Drouin Calvados Selection, 1 oz Vermouth del Professore, 2 dash Angostura Bitters, 1 dash St. George Absinthe",Fresh Fennel Flowers,Martini,7,26
Kind of Fancy,Jacques,Wildhawk,San Francisco,"1.5 oz H by HINE, .75 oz Wild Turkey 101 Rye, .5 oz Bin 27 Port, .25 oz Yellow Chartreuse, 2 dash Mole Bitters",Dukes Orange Twist,,6,32
An Oaxacan Christmas,Brandon Bigalke,Wingtip,San Francisco,"1.5 oz Mezcal, .5 oz Green Chartreuse, .25 oz Campari, 2 dash Regans' Orange Bitters",,N/A,6,38
Im(pear)ed Fashioned,Ashley Wacker,Wish Bar,San Francisco,"2 oz BarSol Pisco, .5 oz Pear Brandy, .5 oz House-made Organic Pear Syrup, .5 oz Fresh Lemon","Nutmeg, grated",N/A,8,26
The Swedish,Zachary Brian Taylor,Ziryab,San Francisco,"1.5 oz Karlsson's Gold Vodka, 1 oz Potato juice*, .5 oz Benedictine, .5 oz Lemon juice , .25 oz Cinnamon honey syrup**, 1 bsp Black pepper, .5 bsp Salt",,Rocks Glass,6,36
Cocao Martini ,Zachary Brian Taylor,Ziryab,San Francisco,"2.5 oz Karlsson's Gold Vodka, .5 oz Ginger Brown*, 4 dash Hella hula bitters, 3 beans Cocao beans",Cocoa bean,Martini,7,38
Flor de Amaras,Kelly McCarthy,,Boston,"1.5 oz Mezcal, 1 oz Hibiscus Simple Syrup*, .5 oz Lime Juice,  top Soda Water",Marigold Petals,N/A,7,36
Bon Voyage Pisco Punch,Jon Morales,,San Francisco,"1500 ml BarSol Selecto Italia Pisco, 750 ml Lemon Juice, 750 ml Pineapple Gomme Syrup*, .5 oz Fee Bros Lemon Bitters, 1 float Old Vine Zin",,,6,26
Ritz Cocktail,Dale DeGroff,,,".75 oz Cognac, .5 oz Cointreau, .25 oz Luxardo Maraschino Liqueur, .25 oz Fresh Lemon Juice, 3 oz Champagne",Orange Peel,Martini,6,29
West Coast Punch,Caterina Miltenberger,,,"1.5 oz Junipero Gin, .75 oz Pineapple Juice, .5 oz Monin Strawberry Puree, 6-7  Mint Leaves, .5 oz Lemon Sour, 1 oz Lemon Lime Soda","Lime Pinwheel, Bing Cherry",Nick & Nora,6,26
Mille Miglia,Caterina Miltenberger,,,".75 oz Luxardo Maraschino Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf, .25 oz Lime Juice, 5 dash Rose Water","Lime Floral, Bing Cherry",Nick & Nora,9,35
Paradiso Sun,Caterina Miltenberger,,,"1.5 oz Junipero Gin, 1 oz Lime Sour, .5 oz Orange Juice, .25 oz Dry Curacao","Orange Wedge, Juniper Berries",Nick & Nora,6,42
Lux Orchard Lemonade,Caterina Miltenberger,,,".75 oz Luxardo Maraschino Liqueur, .5 oz Junipero Gin, .75 oz Monin Apple Puree, .25 oz Lemon Juice, 1 dash Fennel Bitters",Luxardo Cherry,N/A,6,47
War of the Roses,Kevin Diedrich,,,".75 c Junipero Gin, .75 c C. Drouin Calvados Selection, .5 c Lemon Juice, .5 c Ginger-Vanilla Syrup, 4 dash Angostura Bitters, 1 bottle Sparkling Rose","Cinnamon sticks, Lemon wheels, Apple slices",Rocks Glass,6,26
Peace Daiquiri,Kate Grutman,,,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice, .5 oz Simple Syrup, .5 oz Fresh Grapefruit Juice",Luxardo Cherry,Coupe,9,22
The Robert Baratheon,,,,"2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Luxardo Cherry,Coupe,7,-1
Fiona Graham,Chris Morris,,Houston,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar",Expressed Orange Swath,Nick & Nora,10,27
Le Sang et Sable,Toby Cecchini,,,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice","Cherry, Lemon Twist",,8,35
The Inside Job,Jared Schubert,,,"2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure","Luxardo Cherry, Orange Twist",Old Fashioned Glass,10,26
Mule Pigeon,Ryan Chetiyawardana,,,"40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer",Basil Sprig,Highball Glass,7,23
Bermuda Highball,,,,"1 oz Chateau de Montifaud Cognac VSOP, 1 oz Plymouth Gin, 1 oz Contratto Bianco Vermouth, 2 dash Regans' Orange Bitters No. 6, 3 oz Club Soda",Orange Peel,Collins,8,25
Lux Cherry Sparkler,,,,"1 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 oz Prosecco",Luxardo Cherry,Champagne Flute,,-1
Karlsson's Mule,,,,"1.5 oz Karlsson's Gold Vodka, .25 oz Lime juice , 3 oz Ginger beer",Lime wheel,,9,-1
The Tahoe Toddy,Jourdan Reinhart,,San Francisco,"2 oz Hot Water, 2 oz Glenrothes, 1 oz King's Ginger Liqueur, 1 dash Honey",Lemon Slice,,,-1
Pink Ribbon,Kate Grutman,,,"1 cube Brown Sugar, soaked in Peychaud's Bitters, .75 oz Pink Pigeon Rum,  fill Champagne",Lemon twist,Champagne Flute,7,32
A Gift from Zara,Rebecca Burkart,,Houston,"1.5 oz Luxardo Bitter Bianco, .75 oz London Dry Gin, .75 oz Elderflower Liqueur, 2 dash Citric Acid, 4 drops Orange Flower Water, 2.5 oz Topo Chico Mineral Water","Orange Zest, Edible Flowers",Wine Glass,8,29
Clearly Bitter,Linda Salinas,,Houston,".75 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, .75 oz Dry Vermouth, .5 oz Curacao, 2 dash Rhubarb Bitters",Grapefruit Twist,Coupe,9,35
Kick the Pigeon,,,," oz Pink Pigeon Rum,  oz St. Germaine Elderflower Liqueur,  oz Lemon ,  oz Vanilla Syrup,  oz Prosecco",,Champagne Flute,8,26
